10.80.12.41,vs_connectlegacy.ihotelier.com_443,profile_http_cookie_encrypt { } profile_wildcard.ihotelier.com_exp_09_06_2020_RestrictCiphers_WithoutRC4 
10.80.12.93,vs_connect-cert.ihotelier.com_443,profile_wildcard.ihotelier.com_exp_09_06_2020_RestrictCiphers_WithoutRC4 
10.80.12.195,vs_pricing.ihotelier.com_443,oneconnect { } profile_wildcard.ihotelier.com_exp_09_06_2020_RestrictCiphers_WithoutRC4 
10.80.12.160,vs_adminbeta-t5.ihotelier.com,profile_wildcard.ihotelier.com_exp_09_06_2020_RestrictCiphers_WithoutRC4 
10.80.12.179,vs_i3SFDCW01.travelclick.net_443,profile_wildcard.travelclick.com_exp_09_06_2020_RestrictCiphers_NoRC4_No3DES 
10.80.12.162,vs_legacyconnect.ihotelier.com_443,profile_http_cookie_encrypt { } profile_wildcard.ihotelier.com_exp_09_06_2020_NO_RC4_NO_3DES 
10.80.12.81,vs_origin-search.travelclick.com_443,profile_wildcard.travelclick.com_exp_09_06_2020_RestrictCiphers_NoRC4_No3DES 
10.80.12.126,vs_origin-portal.travelclick.com_443,oneconnect { } profile_wildcard.travelclick.com_exp_09_06_2020_RestrictCiphers_NoRC4_NoTLS1.0 
10.80.12.151,vs_partner-portal.travelclick.com_443,oneconnect { } profile_wildcard.travelclick.com_exp_09_06_2020_RestrictCiphers_NoRC4_No3DES 
10.80.12.154,vs_training.travelclick.com_443,profile_wildcard.travelclick.com_exp_09_06_2020_RestrictCiphers_NoRC4_No3DES 
10.80.12.181,vs_connect-legacy.ihotelier.com_443,profile_http_cookie_encrypt { } profile_wildcard.ihotelier.com_exp_09_06_2020_RestrictCiphers_WithoutRC4 
10.80.12.105,vs_chain.travelclick.com_443,profile_wildcard.travelclick.com_exp_09_06_2020_RestrictCiphers_NoRC4 
10.80.12.103,vs_api-amadeus.travelclick.com_443,profile_wildcard.travelclick.com_exp_09_06_2020_RestrictCiphers_NoRC4_No3DES 
10.80.12.110,vs_emari-mgmt.travelclick.com_443,oneconnect { } profile_wildcard.travelclick.com_exp_09_06_2020_RestrictCiphers_NoRC4 
10.80.12.76,vs_static.travelclick.com_443,profile_wildcard.travelclick.com_exp_09_06_2020_RestrictCiphers_NoRC4 
10.80.13.51,vs_connect_tls.ihotelier.com_443,profile_http_cookie_encrypt { } profile_wildcard.ihotelier.com_exp_09_06_2020_RestrictCiphers_WithoutRC4 
10.80.13.52,vs_ota2_tls.ihotelier.com_443,oneconnect { } profile_wildcard.ihotelier.com_exp_09_06_2020_RestrictCiphers_WithoutRC4 
10.80.13.53,vs_admin_tls.ihotelier.com_443,profile_http_cookie_encrypt_2015 { } profile_wildcard.ihotelier.com_exp_09_06_2020_RestrictCiphers_WithoutRC4 
10.80.12.137,vs_brandbar.travelclick.com_443,oneconnect { } profile_wildcard.travelclick.com_exp_09_06_2020_RestrictCiphers_NoRC4 
10.80.12.107,vs_pricing.travelclick.com_443,profile_wildcard.travelclick.com_exp_09_06_2020_RestrictCiphers_NoRC4 
10.80.12.244,vs_api-hotelstatic.ihotelier.com,profile_wildcard.ihotelier.com_exp_09_06_2020_RestrictCiphers_WithoutRC4_No_Tls1.0 
10.80.12.163,vs_sync.connect.ihotelier.com-443,profile_wildcard.ihotelier.com_exp_09_06_2020_NO_RC4_NO_3DES_No_Tls1.0 
