10.80.0.38,vs_bookings3.ihotelier.com_443,profile_wildcard.ihotelier.com_RestrictCiphers_WithoutRC4_NewSSLCert,profile_wildcard.ihotelier.com_exp_09_06_2020_RestrictCiphers_WithoutRC4
10.80.0.38,vs_api-ilcb.travelclick.com_443,profile_wildcard_travelclick.com_exp_04_03_2020_RestrictedCiphers_NO_RC4_NO_3DES,profile_wildcard.travelclick.com_exp_09_06_2020_RestrictCiphers_NoRC4_No3DES
10.80.0.38,vs_api-amadeus.travelclick.com_443,profile_wildcard_travelclick.com_exp_04_03_2020_RestrictedCiphers_NO_RC4_NO_3DES,profile_wildcard.travelclick.com_exp_09_06_2020_RestrictCiphers_NoRC4_No3DES
10.80.0.38,vs_i18n-admin.travelclick.com_443,profile_wildcard_travelclick.com_exp_04_03_2020,profile_wildcard.travelclick.com_exp_09_06_2020_RestrictCiphers_NoRC4
10.80.0.38,vs_chain.travelclick.com_80,profile_wildcard_travelclick.com_exp_04_03_2020,profile_wildcard.travelclick.com_exp_09_06_2020_RestrictCiphers_NoRC4
10.80.0.38,vs_chain.travelclick.com_443,profile_wildcard_travelclick.com_exp_04_03_2020,profile_wildcard.travelclick.com_exp_09_06_2020_RestrictCiphers_NoRC4
10.80.0.38,vs_chainapi.travelclick.com_80,profile_wildcard_travelclick.com_exp_04_03_2020,profile_wildcard.travelclick.com_exp_09_06_2020_RestrictCiphers_NoRC4
10.80.0.38,vs_chainapi.travelclick.com_443,profile_wildcard_travelclick.com_exp_04_03_2020,profile_wildcard.travelclick.com_exp_09_06_2020_RestrictCiphers_NoRC4
10.80.0.38,vs_pricing.travelclick.com_443,profile_wildcard_travelclick.com_exp_04_03_2020,profile_wildcard.travelclick.com_exp_09_06_2020_RestrictCiphers_NoRC4
10.80.0.38,vs_ihproductapi.travelclick.com_443,profile_wildcard_travelclick.com_exp_04_03_2020,profile_wildcard.travelclick.com_exp_09_06_2020_RestrictCiphers_NoRC4
10.80.0.38,vs_emariapi.travelclick.com_443,profile_wildcard_travelclick.com_exp_04_03_2020_RestrictedCiphers_NO_RC4_NO_3DES,profile_wildcard.travelclick.com_exp_09_06_2020_RestrictCiphers_NoRC4_No3DES
10.80.0.38,vs_emari-mgmt.travelclick.com_443,profile_wildcard_travelclick.com_exp_04_03_2020,profile_wildcard.travelclick.com_exp_09_06_2020_RestrictCiphers_NoRC4
10.80.0.38,vs_payments-cybersource.travelclick.com_443,profile_wildcard_travelclick.com_exp_04_03_2020,profile_wildcard.travelclick.com_exp_09_06_2020_RestrictCiphers_NoRC4
10.80.0.38,vs_c2capi.ihotelier.com_443,profile_wildcard.ihotelier.com_RestrictCiphers_WithoutRC4_NewSSLCert,profile_wildcard.ihotelier.com_exp_09_06_2020_RestrictCiphers_WithoutRC4
10.80.0.38,vs_origin-portal.travelclick.com_443,profile_wildcard_travelclick.com_exp_04_03_2020_No_Tls1.0,profile_wildcard.travelclick.com_exp_09_06_2020_RestrictCiphers_NoRC4_NoTLS1.0
10.80.0.38,vs_payments-zooz.travelclick.com_443,profile_wildcard_travelclick.com_exp_04_03_2020_RestrictedCiphers_NO_RC4_NO_3DES,profile_wildcard.travelclick.com_exp_09_06_2020_RestrictCiphers_NoRC4_No3DES
10.80.0.38,vs_uemenuapi.travelclick.com_443,profile_wildcard_travelclick.com_exp_04_03_2020_RestrictedCiphers_NO_RC4_NO_3DES,profile_wildcard.travelclick.com_exp_09_06_2020_RestrictCiphers_NoRC4_No3DES
10.80.0.38,vs_uejwtapi.travelclick.com_443,profile_wildcard_travelclick.com_exp_04_03_2020_RestrictedCiphers_NO_RC4_NO_3DES,profile_wildcard.travelclick.com_exp_09_06_2020_RestrictCiphers_NoRC4_No3DES
10.80.0.38,vs_lc.travelclick.com_443,profile_wildcard_travelclick.com_exp_04_03_2020,profile_wildcard.travelclick.com_exp_09_06_2020_RestrictCiphers_NoRC4
10.80.0.38,vs_brandbar.travelclick.com_443,profile_wildcard_travelclick.com_exp_04_03_2020,profile_wildcard.travelclick.com_exp_09_06_2020_RestrictCiphers_NoRC4
10.80.0.38,vs_gm_gm.travelclick.com_https,profile_gm.travelclick.com_RestrictCiphers,profile_wildcard.travelclick.com_exp_09_06_2020_RestrictCiphers_NoRC4
10.80.0.38,vs_partner-portal.travelclick.com_443,profile_wildcard_travelclick.com_exp_04_03_2020_RestrictedCiphers_NO_RC4_NO_3DES,profile_wildcard.travelclick.com_exp_09_06_2020_RestrictCiphers_NoRC4_No3DES
10.80.0.38,vs_ihentrateapi.travelclick.com,profile_wildcard_travelclick.com_exp_04_03_2020,profile_wildcard.travelclick.com_exp_09_06_2020_RestrictCiphers_NoRC4
10.80.0.38,vs_sync.connect.ihotelier.com-443,profile_wildcard.ihotelier.com_NewSSLCert_NO_RC4_NO_3DES_No_Tls1.0,profile_wildcard.ihotelier.com_exp_09_06_2020_NO_RC4_NO_3DES_No_Tls1.0
10.80.0.38,vs_csgateway.ihotelier.com_443,profile_wildcard.ihotelier.com_RestrictCiphers_WithoutRC4_NewSSLCert,profile_wildcard.ihotelier.com_exp_09_06_2020_RestrictCiphers_WithoutRC4
10.80.0.38,vs_connect-legacy.ihotelier.com_443,profile_wildcard.ihotelier.com_RestrictCiphers_WithoutRC4_NewSSLCert,profile_wildcard.ihotelier.com_exp_09_06_2020_RestrictCiphers_WithoutRC4
