VS Name, VS IP address, Total Connections
vs_c2cconsole-t5.ihotelier.com_80,10.30.72.32:http,12078
vs_c2cconsole-t5.ihotelier.com_443,10.30.72.32:https,9308
vs_c2cconsole-t6.ihotelier.com_80,10.30.72.33:http,12003
vs_c2cconsole-t6.ihotelier.com_443,10.30.72.33:https,8689
vs_callcenter15-p1.ihotelier.com_80,10.30.72.21:http,2252388
vs_callcenter15-p1.ihotelier.com_443,10.30.72.21:https,2247242
vs_callcenter15-perf.ihotelier.com_80,10.30.72.6:http,1839215
vs_callcenter15-perf.ihotelier.com_443,10.30.72.6:https,1645645
vs_callcenter-p1.ihotelier.com_80,10.30.72.18:http,0
vs_callcenter-p1.ihotelier.com_443,10.30.72.18:https,0
vs_callcenter-perf.ihotelier.com_80,10.30.72.12:http,0
vs_callcenter-perf.ihotelier.com_443,10.30.72.12:https,0
vs_certificate-test_443,10.30.72.254:https,734
vs_chain-perf.travelclick.com_80,10.30.72.131:http,12633
vs_chain-perf.travelclick.com_443,10.30.72.131:https,13345
vs_chainapi-perf.travelclick.com_443,10.30.72.246:https,31775
vs_chef-ha-test.travelclick.com_80,10.30.73.65:http,29
vs_chef-ha-test.travelclick.com_443,10.30.73.65:https,284110
vs_cironl01-qa.travelclick.com_443,10.30.72.248:https,1435649
vs_cironl01-uat.travelclick.com_80,10.30.73.66:http,177643
vs_cironl01-uat.travelclick.com_443,10.30.73.66:https,269091
vs_cm-ari-config-t1.travelclick.net_443,10.30.72.196:https,3009
vs_cm-ari-distribution-t1.travelclick.net_443,10.30.72.198:https,3155
vs_cm-ari-resolution-t1.travelclick.net_443,10.30.72.197:https,2592
vs_cm-ari-state-t1.travelclick.net_443,10.30.72.195:https,1979
vs_cmadapter-d1.travelclick.com_80,10.30.72.151:http,12559
vs_cmadapter-d1.travelclick.com_443,10.30.72.151:https,1299
vs_cmadapter-s1.travelclick.com_80,10.30.72.150:http,11969
vs_cmadapter-s1.travelclick.com_443,10.30.72.150:https,15933
vs_cmadminv2-c1.travelclick.net,10.30.73.52:https,952
vs_cmadminv2-c1.travelclick.net_80,10.30.73.52:http,38
vs_cmadminv2-l1.travelclick.net_80,10.30.73.31:http,14905
vs_cmadminv2-l1.travelclick.net_443,10.30.73.31:https,34205
vs_cmadminv2-s1.travelclick.com_80,10.30.72.62:http,15018
vs_cmadminv2-s1.travelclick.com_443,10.30.72.62:https,74633
vs_cmadminv2-t1.travelclick.net,10.30.72.243:http,29507
vs_cmadminv2-t1.travelclick.net_443,10.30.72.243:https,29659
vs_cmapi-c1.travelclick.net_80,10.30.73.51:http,32
vs_cmapi-c1.travelclick.net_443,10.30.73.51:https,53
vs_cmapi-l1.travelclick.net_80,10.30.73.32:http,12140
vs_cmapi-l1.travelclick.net_443,10.30.73.32:https,17008
vs_cmapi-s1.travelclick.com_80,10.30.72.59:http,12138
vs_cmapi-s1.travelclick.com_443,10.30.72.59:https,16870
vs_cmapi-t1.travelclick.net,10.30.72.221:http,16409
vs_cmapi-t1.travelclick.net_443,10.30.72.221:https,16306
vs_cmcsense-test.travelclick.com_80,10.30.72.41:http,21015
vs_cmcsense-test.travelclick.com_443,10.30.72.41:https,18356
vs_cmelastic-d1.gain.tcprod.local_80,10.30.72.46:http,12215
vs_cmelastic-d1.gain.tcprod.local_443,10.30.72.46:https,885
vs_cmelastic-s1.travelclick.com_80,10.30.72.126:http,12070
vs_cmelastic-s1.travelclick.com_443,10.30.72.126:https,1307540
vs_cmextranet-s1.travelclick.com_80,10.30.72.61:http,15602
vs_cmextranet-s1.travelclick.com_443,10.30.72.61:https,34636
vs_cmfms-c1.travelclick.net_80,10.30.73.57:http,27
vs_cmfms-c1.travelclick.net_443,10.30.73.57:https,157
vs_cmfms-l1.travelclick.net_80,10.30.73.33:http,11966
vs_cmfms-l1.travelclick.net_443,10.30.73.33:https,21127
vs_cmfms-s1.travelclick.com_80,10.30.72.57:http,15101
vs_cmfms-s1.travelclick.com_443,10.30.72.57:https,29914
vs_cmfms-t1.travelclick.net,10.30.72.242:http,718
vs_cmfms-t1.travelclick.net_443,10.30.72.242:https,850
vs_cmfrez-s1.travelclick.com_80,10.30.72.53:http,12297
vs_cmfrez-s1.travelclick.com_443,10.30.72.53:https,1357
vs_cmfrez-t1.travelclick.net_443,10.30.72.194:https,2183
vs_cmideas-d1.travelclick.com_80,10.30.72.88:http,12368
