VS Name, VS IP address, Total Connections
vs_api-ihos.ihotelier_443,10.80.73.100:https,0
vs_api-ilcb-internal-tx_80,10.80.73.93:http,1656
vs_api-ilcb-internal-tx_443,10.80.73.93:https,9737547
vs_api-p1.tcgms.net_443,10.80.73.117:https,7338574
vs_api-test.travelclick.com,10.80.72.109:http,44
vs_api-test.travelclick.com_443,10.80.72.109:https,89
vs_beta-admin-t5.ihotelier.com_80,10.80.72.48:http,886221
vs_beta-admin-t5.ihotelier.com_443,10.80.72.48:https,801370
vs_beta-portal-c1.travelclick.com_80,10.80.73.120:http,153
vs_beta-portal-c1.travelclick.com_443,10.80.73.120:https,5921
vs_beta-portal-m1.travelclick.com_80,10.80.73.121:http,36
vs_beta-portal-m1.travelclick.com_443,10.80.73.121:https,454
vs_beta-portal-t1.travelclick.com_80,10.80.73.122:http,138
vs_beta-portal-t1.travelclick.com_443,10.80.73.122:https,41248
vs_beta-portal-t3.travelclick.com_80,10.80.73.123:http,120
vs_beta-portal-t3.travelclick.com_443,10.80.73.123:https,3027
vs_beta-portal-t4.travelclick.com_80,10.80.73.118:http,261
vs_beta-portal-t4.travelclick.com_443,10.80.73.118:https,112327
vs_beta-portal-t5.travelclick.com_80,10.80.73.119:http,511
vs_beta-portal-t5.travelclick.com_443,10.80.73.119:https,208930
vs_beta-portal-t6.travelclick.com_80,10.80.73.105:http,904
vs_beta-portal-t6.travelclick.com_443,10.80.73.105:https,246471
vs_bi-api-alpha.travelclick.com_80,10.80.73.107:http,65
vs_bi-api-alpha.travelclick.com_443,10.80.73.107:https,108098
vs_bi-middleware.travelclick.com_80,10.80.72.16:http,249
vs_bi-middleware.travelclick.com_443,10.80.72.16:https,26993
vs_bisftp.ilcb.tcprod.local,10.80.72.231:ssh,6
vs_booking-t4.ihotelier.com_80,10.80.72.27:http,1695005
vs_booking-t4.ihotelier.com_443,10.80.72.27:https,930867
vs_booking-t5.ihotelier.com_80,10.80.72.29:http,878748
vs_booking-t5.ihotelier.com_443,10.80.72.29:https,842484
vs_booking-t6.ihotelier.com_80,10.80.72.26:http,1298564
vs_booking-t6.ihotelier.com_443,10.80.72.26:https,788474
vs_bookings-t4.ihotelier.com_80,10.80.72.19:http,918448
vs_bookings-t4.ihotelier.com_443,10.80.72.19:https,807176
vs_bookings-t5.ihotelier.com_80,10.80.72.18:http,1674121
vs_bookings-t5.ihotelier.com_443,10.80.72.18:https,769297
vs_bookings-t6.ihotelier.com_80,10.80.72.161:http,37
vs_bookings-t6.ihotelier.com_443,10.80.72.161:https,103
vs_brandbar-c1.travelclick.com_443,10.80.73.98:https,1369640
vs_brandbar-t1.travelclick.com_80,10.80.73.45:http,37
vs_brandbar-t1.travelclick.com_443,10.80.73.45:https,38465
vs_brandbar-t3.travelclick.com_80,10.80.73.75:http,37
vs_brandbar-t3.travelclick.com_443,10.80.73.75:https,692
vs_brandbar-t4.travelclick.com_44,10.80.73.73:https,54338
vs_brandbar-t4.travelclick.com_80,10.80.73.73:http,37
vs_brandbar-t5.travelclick.com_80,10.80.72.58:http,1891078
vs_brandbar-t5.travelclick.com_443,10.80.72.58:https,8880689
vs_brandbar-t6.travelclick.com_80,10.80.73.74:http,37
vs_brandbar-t6.travelclick.com_443,10.80.73.74:https,56459
vs_callcenter15-t4.ihotelier.com_80,10.80.72.139:http,6796
vs_callcenter15-t4.ihotelier.com_443,10.80.72.139:https,53426
vs_callcenter15-t5.ihotelier.com_80,10.80.72.81:http,5782167
vs_callcenter15-t5.ihotelier.com_443,10.80.72.81:https,2242817
vs_callcenter15-t6.ihotelier.com_80,10.80.72.78:http,222
vs_callcenter15-t6.ihotelier.com_443,10.80.72.78:https,108950
vs_callcenter15.ihotelier.com_443,10.80.72.93:https,48
vs_callcenter15_testing_443,10.80.75.50:https,16431
vs_callcenter-c1.ihotelier.com_80,10.80.72.242:http,4089302
vs_callcenter-c1.ihotelier.com_443,10.80.72.242:https,1855715
vs_callcenter-demo.travelclick.com_443,10.80.72.250:https,784526
vs_callcenter-t1.ihotelier.com_80,10.80.72.189:http,8990
vs_callcenter-t1.ihotelier.com_443,10.80.72.189:https,76771
vs_callcenter-t3.ihotelier.com_80,10.80.72.204:http,1701306
vs_callcenter-t3.ihotelier.com_443,10.80.72.204:https,817373
vs_callcenter-t6.ihotelier.com_80,10.80.73.125:http,93
vs_callcenter-t6.ihotelier.com_443,10.80.73.125:https,980
vs_cert-test-ldc.travelclick.com_443,10.80.72.254:https,601
vs_chain-c1.travelclick.com_80,10.80.73.30:http,822253
vs_chain-c1.travelclick.com_443,10.80.73.30:https,820415
vs_chain-m1.travelclick.com_80,10.80.73.34:http,36
vs_chain-m1.travelclick.com_443,10.80.73.34:https,119
vs_chain-p1.travelclick.com_80,10.80.73.33:http,39
vs_chain-p1.travelclick.com_443,10.80.73.33:https,94190
vs_chain-t1.travelclick.com_80,10.80.73.38:http,37
vs_chain-t1.travelclick.com_443,10.80.73.38:https,15888
vs_chain-t3.travelclick.com_80,10.80.73.37:http,36
vs_chain-t3.travelclick.com_443,10.80.73.37:https,585
vs_chain-t4.travelclick.com_80,10.30.72.75:http,0
vs_chain-t4.travelclick.com_443,10.80.72.75:https,54892
vs_chain-t5.travelclick.com_443,10.80.72.226:https,76643
vs_chain-t6.travelclick.com_80,10.80.72.228:http,47
vs_chain-t6.travelclick.com_443,10.80.72.228:https,36383
vs_chainapi-c1.travelclick.com_80,10.80.73.31:http,37
vs_chainapi-c1.travelclick.com_443,10.80.73.31:https,78047
vs_chainapi-m1.travelclick.com_80,10.80.73.35:http,36
vs_chainapi-m1.travelclick.com_443,10.80.73.35:https,119
vs_chainapi-p1.travelclick.com_80,10.80.73.32:http,37
vs_chainapi-p1.travelclick.com_443,10.80.73.32:https,258562
vs_chainapi-t1.travelclick.com_80,10.80.73.39:http,37
vs_chainapi-t1.travelclick.com_443,10.80.73.39:https,80142
vs_chainapi-t3.travelclick.com_80,10.80.73.36:http,37
vs_chainapi-t3.travelclick.com_443,10.80.73.36:https,2770
vs_chainapi-t4.travelclick.com_80,10.30.72.76:http,0
vs_chainapi-t4.travelclick.com_443,10.80.72.76:https,164382
vs_chainapi-t5.travelclick.com_443,10.80.72.227:https,350519
vs_chainapi-t6.travelclick.com_443,10.80.72.232:https,204610
vs_chtllm01,10.80.72.100:xmpp-client,6707
vs_config-c1.ihotelier.com_80,10.80.72.243:http,286
vs_config-c1.ihotelier.com_443,10.80.72.243:https,2091
vs_config-c1.travelclick.com_80,10.80.73.104:http,209
