VS Name, VS IP address, Total Connections
vs_clcl01-d1.gain_443,10.30.12.128:https,0
vs_cm-api-test.travelclick.com_80,10.30.12.53:http,7784
vs_cm-api-test.travelclick.com_443,10.30.12.53:https,298
vs_cm-api.travelclick.com_80,10.30.13.39:http,1153652
vs_cm-api.travelclick.com_443,10.30.13.39:https,2099804
vs_cm-api_tls.travelclick.com_443,10.30.12.175:https,1056161
vs_cm-ari-dist-in-otad.travelclick.com_80,10.30.12.198:http,445
vs_cm-ari-dist-in.travelclick.com_80,10.30.12.197:http,177
vs_cm-ari-distribution-shard-v2.travelclick.com,10.30.12.42:http,117955
vs_cm-ari-distribution-v2.travelclick.com,10.30.12.49:http,15261852
vs_cm-ari-distribution.travelclick.com,10.30.12.143:https,258206
vs_cm-ari-distribution.travelclick.com_80,10.30.12.143:http,7784
vs_cm-ari-distribution_tls.travelclick.com_443,10.30.12.176:https,0
vs_cm-ari-resolution-v2_80,10.30.12.173:http,12939806
vs_cm-ari-resolution-v2_443,10.30.12.173:https,1190
vs_cm-ari-resolution.travelclick.com_80,10.30.12.48:http,2483383
vs_cm_mail_outbound,10.30.12.118:smtp,125
vs_cmconfig-test.travelclick.com_80,10.30.12.50:http,700
vs_cmconfig.travelclick.com_80,10.30.12.54:http,38397611
vs_cmelastic.travelclick.com_80,10.30.8.45:http,34
vs_cmelastic.travelclick.com_443,10.30.8.45:https,15377907
vs_cmkbase.travelclick.com_80,10.30.13.35:http,147324
vs_cmkbase.travelclick.com_443,10.30.13.35:https,0
vs_cmkibana.travelclick.com_80,10.30.12.146:http,7844
vs_cmkibana.travelclick.com_443,10.30.12.146:https,27082
vs_cmmappings.travelclick.net_80,10.30.12.94:http,35760
vs_cmotaservices.travelclick.com_80,10.30.12.213:http,797
vs_cmprocessapi.travelclick.com_443,10.30.12.145:https,17647922
vs_cmprocessapi.travelclick_80,10.30.12.145:http,7784
vs_cmpullres.travelclick.com_80,10.30.12.141:http,1467339885
vs_cmpullres.travelclick.com_443,10.30.12.141:https,8146
vs_cmrezqueue.travelclick.com_80,10.30.12.43:http,181
vs_cmrezqueue.travelclick.com_443,10.30.12.43:https,298
vs_cmsdashboards.travelclick.net_80,10.30.12.47:http,172
vs_cmstash_bitbucket_22,10.30.12.230:ssh,175026289
vs_cmstash_bitbucket_80,10.30.12.230:http,391701
vs_cmstash_bitbucket_443,10.30.12.230:https,95743259
vs_cmstash_bitbucket_7990,10.30.12.230:7990,4343
vs_cmstash_bitbucket_7999,10.30.12.230:irdmi2,1115588858
vs_cmstateapi.travelclick.net_80,10.30.8.15:http,78192425
vs_cmstateapi.travelclick.net_443,10.30.8.15:https,0
vs_cmsubmitari.travelclick.com_80,10.30.12.23:http,3349337586
vs_cmsubmitari.travelclick.com_443,10.30.12.23:https,8103
vs_cmtrafficmediator.travelclick.net_80,10.30.12.155:http,172
vs_config-adc.travelclick.com_80,10.30.12.30:http,177
vs_config-adc.travelclick.com_443,10.30.12.30:https,254
vs_connect_ldc-tls.ihotelier.com_443,10.30.12.195:https,6051226
vs_connect_ldc.ihotelier.com_443,10.30.12.185:https,436781841
vs_conversions.ezyield.com_80,10.30.8.127:http,1158658
vs_conversions.ezyield.com_443,10.30.8.127:https,1065474
vs_demand360.travelclick.com_80,10.30.8.98:http,1268865
vs_demand360.travelclick.com_443,10.30.8.98:https,1057739
vs_developer.travelclick.com_80,10.30.12.120:http,1142298
vs_developer.travelclick.com_443,10.30.12.120:https,1622916
vs_ebs.travelclick.net_80,10.30.12.163:http,1081
vs_ebs.travelclick.net_443,10.30.12.174:https,89
vs_eletters.travelclick.com_80,10.30.12.93:http,0
vs_emari-mgmt-adc.travelclick.com_80,10.30.12.157:http,1225692
vs_emari-mgmt-adc.travelclick.com_443,10.30.12.157:https,1074244
vs_emariapi-adc.travelclick.com_80,10.30.12.159:http,7780
vs_emariapi-adc.travelclick.com_443,10.30.12.159:https,255
vs_emc.travelclick.com_80,10.30.12.6:http,1144635
vs_emc.travelclick.com_443,10.30.12.6:https,16756666
vs_extranet.ezyield.com_80,10.30.8.121:http,1168468
vs_extranet.ezyield.com_443,10.30.8.121:https,2767380
vs_fms.ezyield.com_80,10.30.8.123:http,1103428
vs_fms.ezyield.com_443,10.30.8.123:https,1194267
vs_fms_tls.ezyield.com_443,10.30.12.179:https,0
vs_frento7-vip.travelclick.com_80,10.30.12.218:http,7995
vs_frento7-vip.travelclick.com_443,10.30.12.218:https,1292
vs_frez-ezyield.com_80,10.30.8.141:http,0
vs_frez-ezyield.com_443,10.30.8.141:https,7325205
vs_frez-test.ezyield.com_80,10.30.8.39:http,0
vs_frez-test.ezyield.com_443,10.30.8.39:https,18478939
vs_gms.travelclick.com_80,10.30.12.183:http,1108947
vs_gms.travelclick.com_443,10.30.12.183:https,373078902
vs_graphite_TCP2003,10.30.12.138:2003,149
vs_graphite_UDP2003,10.30.12.138:2003,0
vs_guestmanagement-survey.travelclick.com_80,10.30.12.193:http,1190133
vs_guestmanagement-survey.travelclick.com_443,10.30.12.193:https,1253927
vs_gv360.travelclick.com_80,10.30.13.37:http,1242594
vs_gv360.travelclick.com_443,10.30.13.37:https,1061559
vs_hotelligence360.travelclick.com_443,10.30.12.87:https,2336998
vs_hotels-myfidelio.roomrez.com_80,10.30.12.44:http,7770
vs_hotels-myfidelio.roomrez.com_443,10.30.12.44:https,7899751
vs_hotels.roomrez.com_80,10.30.8.133:http,1770090
vs_hotels.roomrez.com_443,10.30.8.133:https,116513806
vs_hotels_tls.roomrez.com_443,10.30.12.165:https,36871
vs_ht360-11g.travelclick.com_80,10.30.12.151:http,9048705
vs_ht360-11g.travelclick.com_443,10.30.12.151:https,12009643
vs_ht360-demo.travelclick.com_80,10.30.12.57:http,1190469
vs_ht360-demo.travelclick.com_443,10.30.12.57:https,1058466
vs_ht360-marketingreccomender.travelclick.com_80,10.30.12.142:http,1225531
vs_ht360-marketingreccomender.travelclick.com_443,10.30.12.142:https,1256504
vs_ht360-training.travelclick.com_80,10.30.12.58:http,1250817
vs_ht360-training.travelclick.com_443,10.30.12.58:https,1063651
vs_ht360-uat.travelclick.com_80,10.30.12.59:http,1083953
vs_ht360-uat.travelclick.com_443,10.30.12.59:https,1082126
vs_ht360.travelclick.com_80,10.30.12.55:http,1266756
vs_ht360.travelclick.com_442,10.30.12.55:https,1066831
vs_ht360_stg_80,10.30.8.25:http,1146211
vs_ht360analytics.travelclick.com,10.30.12.202:https,1310369
vs_htb-cluster2_80,10.30.12.124:http,38468326
vs_htb-cluster2_443,10.30.12.124:https,94571078
vs_htb-cluster3_80,10.30.12.125:http,46884999
vs_htb-cluster3_443,10.30.12.125:https,91040087
vs_htb_cluster4_80,10.30.12.131:http,0
vs_htb_cluster4_443,10.30.12.131:https,0
vs_htb_cluster5-media.cosmopolitan_80,10.30.12.153:http,0
vs_htb_cluster5-media.cosmopolitan_443,10.30.12.153:https,0
vs_htb_cluster5-new_80,10.30.12.152:http,0
vs_htb_cluster5-new_443,10.30.12.152:https,0
vs_htb_cluster5_80,10.30.12.132:http,0
vs_htb_cluster5_443,10.30.12.132:https,0
vs_htb_cluster6_80,10.30.12.135:http,0
vs_htb_cluster6_443,10.30.12.135:https,0
vs_htb_cluster8_80,10.30.12.137:http,0
vs_htb_cluster8_443,10.30.12.137:https,0
vs_htb_grp1_80,10.30.12.96:http,10790378
vs_htb_grp1_443,10.30.12.96:https,0
vs_htb_grp2_80,10.30.12.97:http,0
vs_htb_grp2_443,10.30.12.97:https,0
vs_htb_grp3_80,10.30.12.98:http,1440725
vs_htb_grp3_443,10.30.12.98:https,1092206
vs_htb_grp4_80,10.30.12.99:http,1186472
vs_htb_grp4_443,10.30.12.99:https,1208274
vs_htb_grp5_20,10.30.12.199:ftp-data,147
vs_htb_grp5_21,10.30.12.199:ftp,121
vs_htb_grp5_ftp,10.30.12.100:ftp,90760
vs_htb_grp6_80,10.30.12.101:http,4431
vs_htb_grp6_443,10.30.12.101:https,43419
vs_htb_grp7_80,10.30.12.106:http,1211847
vs_htb_grp7_443,10.30.12.106:https,1281447
vs_htb_grp9_80,10.30.12.113:http,1149613
vs_htb_grp9_443,10.30.12.113:https,1232908
vs_htb_staging_80,10.30.12.107:http,2645466
vs_htb_staging_443,10.30.12.107:https,1071108
vs_htb_staging_new_80,10.30.12.114:http,1198298
vs_htb_staging_new_443,10.30.12.114:https,1078084
vs_htbstaging2_80,10.30.12.115:http,1212061
vs_htbstaging2_443,10.30.12.115:https,1512448
vs_htbtools-vip.travelclick.com_80,10.30.12.216:http,7803
vs_htbtools-vip.travelclick.com_443,10.30.12.216:https,11948
vs_i3_webservices_80,10.30.12.103:http,1224569
vs_i3_webservices_443,10.30.12.103:https,1217979
vs_ideas.ezyield.com_80,10.30.8.120:http,1133067
vs_ideas.ezyield.com_443,10.30.8.120:https,1389290
vs_identity-d1.travelclick.com_80,10.30.13.27:http,1405719
vs_identity-d1.travelclick.com_443,10.30.13.27:https,1049396
vs_identity-demo.travelclick.com_443,10.30.12.212:https,334
vs_identity-qts.travelclick.com_80,10.30.13.25:http,1107969
vs_identity-qts.travelclick.com_443,10.30.13.25:https,12271265
vs_identity-t1.travelclick.com_80,10.30.13.26:http,1208506
vs_identity-t1.travelclick.com_443,10.30.13.26:https,1171320
vs_ih-analytics.travelclick.com_80,10.30.12.7:http,1297018
vs_ih-analytics.travelclick.com_443,10.30.12.7:https,12262870
vs_ihonboardingapi-adc.travelclick.com_80,10.30.12.160:http,7781
vs_ihonboardingapi-adc.travelclick.com_443,10.30.12.160:https,257
vs_ihproductapi-adc.travelclick.com_80,10.30.12.158:http,7780
vs_ihproductapi-adc.travelclick.com_443,10.30.12.158:https,256
vs_imanager-p1.ihotelier.com_80,10.30.13.17:http,0
vs_imanager-p1.ihotelier.com_443,10.30.13.17:https,0
vs_insite.travelclick.net_80,10.30.12.5:http,1195567
vs_insite.travelclick.net_443,10.30.12.5:https,5664315
vs_is3llm01-d1.gain_80,10.30.12.127:http,0
vs_is3llm01-d1.gain_443,10.30.12.127:https,0
vs_jenkins-bi.travelclick.net_80,10.30.12.164:http,1141
vs_join.channelmanagement.travelclick.com_80,10.30.12.82:http,1171078
vs_join.channelmanagement.travelclick.com_443,10.30.12.82:https,1135278
vs_join.ezyield.com_80,10.30.8.136:http,1233862
vs_join.ezyield.com_443,10.30.8.136:https,1095879
vs_join_tls.ezyield.com_443,10.30.12.180:https,0
vs_kapowmc.travelclick.com_443,10.30.12.144:webcache,1939
vs_m-d1.ihotelier.com_80,10.30.8.81:http,1247033
vs_m-d1.ihotelier.com_443,10.30.8.81:https,1131500
vs_manual-api.ezyield.com_80,10.30.8.125:http,1267595
vs_manual-api.ezyield.com_443,10.30.8.125:https,1054633
vs_mappingtools.ezyield.com_80,10.30.8.126:http,1106644
vs_mappingtools.ezyield.com_443,10.30.8.126:https,1201074
vs_mdm.travelclick.net_80,10.30.12.148:http,7782
vs_mdm.travelclick.net_443,10.30.12.148:https,1256
vs_media-api.travelclick.com_80,10.30.12.147:http,1129358
vs_media-api.travelclick.com_443,10.30.12.147:https,1053731
vs_mediabi.travelclick.com_80,10.30.12.249:http,1529761
vs_mirocks-dev.travelclick.com_80,10.30.12.56:http,1142508
vs_mobile-p1.ihotelier.com_80,10.30.13.23:http,0
vs_mobile-p1.ihotelier.com_443,10.30.13.23:https,0
vs_mobl01-d1.gain_80,10.30.12.130:http,0
vs_mobl01-d1.gain_443,10.30.12.130:https,0
vs_mvrate1-audit_80,10.30.12.61:http,981
vs_mvrate1-audit_443,10.30.12.61:https,254
vs_mvrate2-audit_80,10.30.12.62:http,177
vs_mvrate2-audit_443,10.30.12.62:https,256
vs_new-htb-cluster_80,10.30.12.121:http,43707096
vs_new-htb-cluster_443,10.30.12.121:https,46355793
vs_notifications-perf.travelclick.com_80,10.30.12.184:http,7781
vs_notifications-perf.travelclick.com_443,10.30.12.184:https,334
vs_ordermanager.travelclick.com_80,10.30.12.139:http,1291783
vs_ordermanager.travelclick.com_443,10.30.12.139:https,2401674
vs_otaconnect-cert.travelclick.com_80,10.30.12.228:http,1392763
vs_otaconnect-cert.travelclick.com_443,10.30.12.228:https,1187349
vs_otaconnect-certapi.travelclick.com_80,10.30.12.229:http,1116534
vs_otaconnect-certapi.travelclick.com_443,10.30.12.229:https,1210494
vs_otaconnect-services-80,10.30.13.53:http,31948690
vs_otaconnect-services-443,10.30.13.53:https,10432
vs_otaconnect.travelclick_80,10.30.12.36:http,3533151
vs_otaconnect.travelclick_443,10.30.12.36:https,3361387
vs_otad-hotel-product.travelclick.com_80,10.30.12.214:http,1064
vs_otad-res-delivery_443,10.30.12.89:https,1059965
vs_otm.travelclick.com_80,10.30.13.36:http,0
vs_pcgl01-d1.gain_80,10.30.12.122:http,0
vs_pcgl01-d1.gain_443,10.30.12.122:https,0
vs_pmsl01-d1.gain_80,10.30.12.120:http,0
vs_pmsl01-d1.gain_443,10.30.12.120:https,0
vs_pushres.ezyield.com_80,10.30.8.128:http,1146109
vs_pushres.ezyield.com_443,10.30.8.128:https,29745078
vs_pushres_tls.ezyield.com_443,10.30.12.170:https,0
vs_r360.http,10.30.8.26:http,1134867
vs_r360.https,10.30.8.26:https,1082200
vs_rancher-gain.travelclick.com_80,10.30.12.162:http,7779
vs_rancher-gain.travelclick.com_443,10.30.12.162:https,805
